,product_title,product_rating,total_reviews,purchased_last_month,discounted_price,original_price,is_best_seller,is_sponsored,has_coupon,buy_box_availability,delivery_date,sustainability_tags,product_image_url,product_page_url,data_collected_at,product_category,discount_percentage
count,42675,42675.0,42675.0,42675.0,42675.0,42675.0,42675,42675,42675,42675,42675.0,42675.0,42675,42675.0,42675,42675,42675.0
unique,8808,,,,,,12,2,42,2,25.0,17.0,8038,40607.0,1559,15,
top,"Duracell Coppertop 9V Battery, 6 Count (Pack of 1), 9 Volt Battery with Long-lasting Power, All-Purpose Alkaline 9V Battery for Household and Office Devices",,,,,,No Badge,Organic,No Coupon,Add to cart,0.0,0.0,https://m.media-amazon.com/images/I/51Xr76m2WLL._AC_UL320_.jpg,0.0,2025-08-21 11:33:01,Other Electronics,
freq,744,,,,,,40814,35664,40727,28022,11983.0,39267.0,1461,2069.0,33,8755,
mean,,4.2938652606912715,3013.0299238429993,975.0310486233158,231.47486584651432,245.16367639132983,,,,,,,,,,,6.23080093731693
std,,0.7742537408133987,12881.838409996762,5513.522941458496,464.7101456504196,487.62559830655914,,,,,,,,,,,12.512011939947763
min,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
25%,,4.2,75.0,50.0,24.99,27.395000000000003,,,,,,,,,,,0.0
50%,,4.5,335.0,100.0,76.99,79.99,,,,,,,,,,,0.0
75%,,4.6,1825.5,300.0,216.66,219.0,,,,,,,,,,,7.41
max,,5.0,865598.0,100000.0,5449.0,5449.0,,,,,,,,,,,85.42
